run,variant,candidates,long_only,pyramiding,seed,total_return,sharpe,max_drawdown,n_trades,win_rate
leaderboard_rules,long,screened five,True,False,0,0.04,0.7957,-0.077,21,0.3333
leaderboard_rules,long,screened five,True,False,1,-0.1376,-4.7459,-0.1382,26,0.1923
leaderboard_rules,long,screened five,True,False,2,-0.0609,-1.6175,-0.0856,31,0.3226
leaderboard_rules,long,screened five,True,False,3,-0.0872,-2.193,-0.104,25,0.28
leaderboard_rules,long,screened five,True,False,4,-0.0138,-0.3217,-0.0762,23,0.3913
leaderboard_rules,long,screened five,True,False,5,-0.0676,-1.5081,-0.1212,29,0.2759
leaderboard_rules,long,screened five,True,False,6,-0.0234,-0.6137,-0.0669,26,0.3462
leaderboard_rules,long,screened five,True,False,7,-0.0865,-1.9182,-0.1134,25,0.4
leaderboard_rules,long,screened five,True,False,8,-0.0476,-1.4519,-0.0923,27,0.2963
leaderboard_rules,long,screened five,True,False,9,0.0621,1.5066,-0.0534,16,0.375
leaderboard_rules,long,screened five,True,False,10,-0.0793,-1.7132,-0.1033,28,0.3571
leaderboard_rules,long,screened five,True,False,11,-0.0136,-0.5518,-0.0535,25,0.4
leaderboard_rules,long,screened five,True,False,12,-0.1237,-3.0124,-0.1401,34,0.2941
leaderboard_rules,long,screened five,True,False,13,0.0053,0.2088,-0.1142,24,0.4583
leaderboard_rules,long,screened five,True,False,14,0.0005,0.102,-0.0382,27,0.5185
leaderboard_rules,long,screened five,True,False,15,0.0072,0.2643,-0.0479,26,0.3462
leaderboard_rules,long,screened five,True,False,16,-0.033,-0.8938,-0.0438,28,0.4286
leaderboard_rules,long,screened five,True,False,17,-0.0166,-0.3226,-0.0461,33,0.4545
leaderboard_rules,long,screened five,True,False,18,-0.0155,-0.3321,-0.0464,24,0.3333
leaderboard_rules,long,screened five,True,False,19,-0.067,-2.441,-0.0775,32,0.375
leaderboard_rules,long,screened five,True,False,20,0.0065,0.236,-0.0776,29,0.5172
leaderboard_rules,long,screened five,True,False,21,-0.0902,-2.8964,-0.0902,27,0.3704
leaderboard_rules,long,screened five,True,False,22,-0.1571,-4.8954,-0.1691,37,0.2973
leaderboard_rules,long,screened five,True,False,23,-0.1879,-5.0048,-0.1904,32,0.3438
leaderboard_rules,long,screened five,True,False,24,-0.1675,-5.1292,-0.1726,28,0.25
leaderboard_rules,long,screened five,True,False,25,-0.0865,-1.8804,-0.1177,27,0.3333
leaderboard_rules,long,screened five,True,False,26,-0.1151,-3.6382,-0.1213,28,0.25
leaderboard_rules,long,screened five,True,False,27,-0.1214,-3.2608,-0.138,28,0.3571
leaderboard_rules,long,screened five,True,False,28,0.0138,0.5658,-0.044,18,0.4444
leaderboard_rules,long,screened five,True,False,29,-0.0309,-0.8496,-0.0697,24,0.4583
leaderboard_rules,long,screened five,True,False,30,0.1084,2.4024,-0.0464,25,0.56
leaderboard_rules,long,screened five,True,False,31,0.027,0.624,-0.0514,30,0.3667
leaderboard_rules,long,screened five,True,False,32,-0.1447,-3.1575,-0.1517,35,0.3714
leaderboard_rules,long,screened five,True,False,33,0.07,1.1428,-0.0744,32,0.2812
leaderboard_rules,long,screened five,True,False,34,-0.1155,-3.3247,-0.1161,29,0.3103
leaderboard_rules,long,screened five,True,False,35,-0.1206,-2.7805,-0.1602,36,0.2778
leaderboard_rules,long,screened five,True,False,36,-0.0277,-0.862,-0.0746,29,0.3103
leaderboard_rules,long,screened five,True,False,37,-0.0079,-0.151,-0.0423,30,0.4
leaderboard_rules,long,screened five,True,False,38,-0.1168,-4.3348,-0.1289,26,0.3846
leaderboard_rules,long,screened five,True,False,39,-0.0723,-3.4279,-0.082,26,0.3846
leaderboard_rules,long,screened five,True,False,40,0.0456,1.0881,-0.0547,27,0.3704
leaderboard_rules,long,screened five,True,False,41,-0.0703,-1.6842,-0.1058,27,0.4074
leaderboard_rules,long,screened five,True,False,42,-0.0273,-0.6503,-0.0715,30,0.4
leaderboard_rules,long,screened five,True,False,43,-0.0515,-1.7889,-0.083,22,0.2273
leaderboard_rules,long,screened five,True,False,44,-0.0931,-2.7888,-0.1027,30,0.3
leaderboard_rules,long,screened five,True,False,45,0.0185,0.6392,-0.0722,23,0.3478
leaderboard_rules,long,screened five,True,False,46,-0.1666,-4.2371,-0.1693,34,0.2353
leaderboard_rules,long,screened five,True,False,47,-0.0512,-1.2781,-0.0995,25,0.2
leaderboard_rules,long,screened five,True,False,48,-0.0787,-2.0549,-0.096,33,0.2727
leaderboard_rules,long,screened five,True,False,49,-0.0516,-2.1789,-0.0703,24,0.375
leaderboard_rules,long,screened five,True,False,50,-0.0389,-0.9779,-0.0907,32,0.375
leaderboard_rules,long,screened five,True,False,51,-0.0463,-1.6782,-0.0577,33,0.5455
leaderboard_rules,long,screened five,True,False,52,-0.0944,-2.5117,-0.1011,31,0.2903
leaderboard_rules,long,screened five,True,False,53,-0.0699,-2.2943,-0.0733,30,0.3333
leaderboard_rules,long,screened five,True,False,54,-0.0811,-2.3451,-0.0973,32,0.3125
leaderboard_rules,long,screened five,True,False,55,-0.0968,-2.8504,-0.124,25,0.36
leaderboard_rules,long,screened five,True,False,56,0.0365,0.7496,-0.0754,22,0.3636
leaderboard_rules,long,screened five,True,False,57,-0.0264,-0.4627,-0.1226,36,0.3611
leaderboard_rules,long,screened five,True,False,58,-0.0377,-0.818,-0.0946,31,0.4839
leaderboard_rules,long,screened five,True,False,59,0.0056,0.2199,-0.0444,27,0.4444
leaderboard_rules,long,screened five,True,False,60,-0.0066,-0.1427,-0.0407,25,0.44
leaderboard_rules,long,screened five,True,False,61,-0.1042,-2.9408,-0.1271,29,0.3448
leaderboard_rules,long,screened five,True,False,62,-0.1341,-2.6829,-0.1457,27,0.2963
leaderboard_rules,long,screened five,True,False,63,-0.0054,-0.0814,-0.0811,25,0.56
leaderboard_rules,long,screened five,True,False,64,-0.0005,0.0185,-0.0344,14,0.5
leaderboard_rules,long,screened five,True,False,65,-0.1502,-4.3025,-0.173,22,0.1818
leaderboard_rules,long,screened five,True,False,66,-0.09,-1.8065,-0.09,30,0.3667
leaderboard_rules,long,screened five,True,False,67,-0.0756,-1.7908,-0.0965,28,0.2857
leaderboard_rules,long,screened five,True,False,68,-0.0627,-1.9742,-0.0841,25,0.36
leaderboard_rules,long,screened five,True,False,69,-0.0951,-2.7485,-0.1072,25,0.28
leaderboard_rules,long,screened five,True,False,70,-0.0807,-2.9293,-0.085,31,0.2581
leaderboard_rules,long,screened five,True,False,71,-0.1611,-5.0316,-0.1717,28,0.2857
leaderboard_rules,long,screened five,True,False,72,-0.0303,-0.6055,-0.0829,31,0.4516
leaderboard_rules,long,screened five,True,False,73,0.0292,0.6927,-0.0786,30,0.3
leaderboard_rules,long,screened five,True,False,74,-0.0689,-2.9307,-0.0853,27,0.4815
leaderboard_rules,long,screened five,True,False,75,-0.0099,-0.0571,-0.126,27,0.5185
leaderboard_rules,long,screened five,True,False,76,-0.1298,-6.7722,-0.1339,28,0.1786
leaderboard_rules,long,screened five,True,False,77,-0.0254,-0.6193,-0.0661,30,0.3333
leaderboard_rules,long,screened five,True,False,78,-0.0002,0.0857,-0.0862,23,0.3913
leaderboard_rules,long,screened five,True,False,79,0.0237,0.796,-0.0519,22,0.4091
leaderboard_rules,long,screened five,True,False,80,-0.0748,-1.6874,-0.0919,32,0.3438
leaderboard_rules,long,screened five,True,False,81,-0.1454,-4.1191,-0.1542,30,0.3333
leaderboard_rules,long,screened five,True,False,82,-0.0287,-1.047,-0.0472,26,0.5
leaderboard_rules,long,screened five,True,False,83,-0.004,-0.0104,-0.0506,25,0.4
leaderboard_rules,long,screened five,True,False,84,-0.0775,-1.3432,-0.1358,24,0.2083
leaderboard_rules,long,screened five,True,False,85,-0.056,-1.7328,-0.0674,27,0.4074
leaderboard_rules,long,screened five,True,False,86,0.0466,1.0705,-0.0759,22,0.4545
leaderboard_rules,long,screened five,True,False,87,0.0677,1.4661,-0.0379,25,0.48
leaderboard_rules,long,screened five,True,False,88,-0.1022,-2.0956,-0.1175,25,0.36
leaderboard_rules,long,screened five,True,False,89,-0.0636,-1.5291,-0.096,28,0.3571
leaderboard_rules,long,screened five,True,False,90,-0.0316,-0.6965,-0.0729,22,0.5
leaderboard_rules,long,screened five,True,False,91,-0.0956,-2.9841,-0.1124,32,0.3438
leaderboard_rules,long,screened five,True,False,92,0.0033,0.1642,-0.0594,32,0.3438
leaderboard_rules,long,screened five,True,False,93,-0.0397,-0.8336,-0.0621,33,0.4545
leaderboard_rules,long,screened five,True,False,94,-0.0553,-1.7676,-0.0949,28,0.3929
leaderboard_rules,long,screened five,True,False,95,-0.01,-0.1049,-0.0701,31,0.4516
leaderboard_rules,long,screened five,True,False,96,-0.0104,-0.0949,-0.1001,29,0.4483
leaderboard_rules,long,screened five,True,False,97,-0.1062,-2.9687,-0.1091,26,0.3462
leaderboard_rules,long,screened five,True,False,98,-0.1033,-3.2716,-0.1195,35,0.4
