run,agent,model,symbol,side,entry_date,exit_date,holding_days,pnl,pnl_pct,reason,confidence,position_usd
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),ORCL,long,2026-06-02,2026-06-02,0,-20.17,-0.0081,invalidation,0.85,2000.0
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),CSCO,long,2026-06-03,2026-06-03,0,-14.94,-0.0055,invalidation,0.85,1995.97
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),ORCL,long,2026-06-04,2026-06-05,1,-58.67,-0.0275,invalidation,0.85,1992.98
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),MSFT,long,2026-06-08,2026-06-09,1,-28.38,-0.0123,close,0.85,1981.25
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),PG,long,2026-06-10,2026-06-15,5,-19.09,-0.0077,close,0.85,1975.57
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),NVDA,long,2026-06-16,2026-06-17,1,-61.59,-0.0293,invalidation,0.85,1971.75
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),WMT,long,2026-06-22,2026-06-26,4,-182.88,-0.0291,invalidation,0.85,5885.15
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),MSFT,long,2026-06-29,2026-06-29,0,-89.45,-0.0446,invalidation,0.85,1922.86
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),XOM,long,2026-06-30,2026-07-02,2,5.53,0.0049,close,0.85,1904.97
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),ORCL,long,2026-07-06,2026-07-08,2,-72.96,-0.0363,close,0.85,1906.07
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),GOOGL,long,2026-07-10,2026-07-13,3,-10.87,-0.0037,close,0.85,1891.48
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),MSFT,long,2026-07-14,2026-07-14,0,-14.16,-0.0055,invalidation,0.85,1889.31
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),GOOGL,long,2026-07-15,2026-07-17,2,-66.79,-0.0334,invalidation,0.85,1886.48
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),MSFT,long,2026-07-20,2026-07-20,0,-6.98,-0.0017,invalidation,0.85,1873.12
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),MSFT,long,2026-07-21,2026-07-22,1,-18.12,-0.0077,invalidation,0.85,1871.72
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),NVDA,long,2026-07-23,2026-07-23,0,-25.65,-0.0117,invalidation,0.85,1868.1
leaderboard_rules,Prompt 1 — leaderboard mandate,Qwen3 8B (laptop),MSFT,long,2026-07-24,2026-08-26,33,1786.4,0.1942,end_of_window,0.85,9305.54
leaderboard_rules,Prompt 2 — plus risk rules,Qwen3 8B (laptop),ORCL,long,2026-06-02,2026-06-02,0,-20.17,-0.0081,invalidation,0.85,2000.0
leaderboard_rules,Prompt 2 — plus risk rules,Qwen3 8B (laptop),CSCO,long,2026-06-09,2026-06-09,0,-81.94,-0.0391,invalidation,0.85,1995.97
leaderboard_rules,Prompt 2 — plus risk rules,Qwen3 8B (laptop),LLY,long,2026-06-10,2026-06-18,8,-91.34,-0.0442,invalidation,0.85,1979.58
leaderboard_rules,Prompt 2 — plus risk rules,Qwen3 8B (laptop),NVDA,long,2026-06-22,2026-06-23,1,-89.82,-0.0438,invalidation,0.85,1961.31
leaderboard_rules,Prompt 2 — plus risk rules,Qwen3 8B (laptop),AMZN,long,2026-06-24,2026-08-26,63,782.4,0.0827,end_of_window,0.85,9707.02
leaderboard_rules,Prompt 3 — full decision procedure,Qwen3 8B (laptop),AAPL,long,2026-06-02,2026-06-09,7,-50.8,-0.0234,invalidation,0.85,2000.0
leaderboard_rules,Prompt 3 — full decision procedure,Qwen3 8B (laptop),AMD,long,2026-06-10,2026-06-10,0,-37.83,-0.017,invalidation,0.85,1989.84
leaderboard_rules,Prompt 3 — full decision procedure,Qwen3 8B (laptop),AAPL,long,2026-06-12,2026-06-25,13,-109.58,-0.0533,invalidation,0.85,1982.27
leaderboard_rules,Prompt 3 — full decision procedure,Qwen3 8B (laptop),AAPL,short,2026-06-29,2026-06-29,0,-14.31,-0.0053,invalidation,0.85,1960.36
leaderboard_rules,Prompt 3 — full decision procedure,Qwen3 8B (laptop),AAPL,long,2026-07-02,2026-08-26,55,126.4,0.0666,end_of_window,0.85,1957.49
leaderboard_rules,Momentum rule (long only),,ORCL,long,2026-06-03,2026-06-04,1,-66.59,-0.0643,invalidation,0.85,1004.83
leaderboard_rules,Momentum rule (long only),,IBM,long,2026-06-02,2026-06-05,3,-62.37,-0.0604,invalidation,0.85,1000.0
leaderboard_rules,Momentum rule (long only),,AMD,long,2026-06-04,2026-06-05,1,-32.11,-0.0304,invalidation,0.85,992.97
leaderboard_rules,Momentum rule (long only),,ORCL,long,2026-06-05,2026-06-05,0,-53.99,-0.0525,invalidation,0.85,990.95
leaderboard_rules,Momentum rule (long only),,NOW,long,2026-06-08,2026-06-09,1,-74.07,-0.0738,invalidation,0.85,978.5
leaderboard_rules,Momentum rule (long only),,TMO,long,2026-06-10,2026-06-12,2,-28.71,-0.0276,close,0.85,969.72
leaderboard_rules,Momentum rule (long only),,IBM,long,2026-06-09,2026-06-15,6,-33.81,-0.0325,close,0.85,980.59
leaderboard_rules,Momentum rule (long only),,AMD,long,2026-06-23,2026-06-23,0,-4.97,-0.0031,invalidation,0.85,974.84
leaderboard_rules,Momentum rule (long only),,UNH,long,2026-06-15,2026-06-25,10,-2.05,-0.0001,close,0.85,967.35
leaderboard_rules,Momentum rule (long only),,WFC,long,2026-06-11,2026-06-30,19,11.51,0.0139,close,0.85,965.9
leaderboard_rules,Momentum rule (long only),,CAT,long,2026-06-16,2026-07-07,21,1.86,0.0039,close,0.85,967.16
leaderboard_rules,Momentum rule (long only),,AMD,long,2026-06-26,2026-07-08,12,-30.49,-0.0288,close,0.85,989.54
leaderboard_rules,Momentum rule (long only),,AXP,long,2026-06-18,2026-07-09,21,-25.46,-0.0243,close,0.85,968.86
leaderboard_rules,Momentum rule (long only),,JPM,long,2026-06-24,2026-07-09,15,-2.28,-0.0004,close,0.85,971.99
leaderboard_rules,Momentum rule (long only),,NOW,long,2026-07-08,2026-07-09,1,-41.07,-0.0409,invalidation,0.85,959.08
